entrez gene/locuslink	human readable name	name	ENTREZID	atid	bsdeg	bhdeg
AT3G03210|T17B22.10|T17B22_10|821222	AT3G03210	AXY9	821222	AT3G03210	none	none
AT1G19040|838486|F14D16_19|F14D16.19	AT1G19040	AT1G19040	838486	AT1G19040	none	none
AT5G37740|833752|K12B20.22|K12B20_22	AT5G37740	AT5G37740	833752	AT5G37740	none	none
AT3G17980|821323	AT3G17980	CAR4	821323	AT3G17980	none	none
AT5G41560|MBK23_8|MBK23.8|834158	AT5G41560	AT5G41560	834158	AT5G41560	none	none
837600|AT1G10585	AT1G10585	BHLH167	837600	AT1G10585	none	none
822593|AT3G29350|histidine-containing phosphotransmitter 2|AHP2	AT3G29350	AHP2	822593	AT3G29350	none	none
CDK-ACTIVATING KINASE 4|AT;CDKD;2|CAK4AT|CYCLIN-DEPENDENT KINASE D1;2|CDKD1;2|AT1G66750|CDKD;2|F4N21.12|CAK4|F4N21_12|842993	AT1G66750	CDKD-2	842993	AT1G66750	none	none
AT2G26070|REVERSION-TO-ETHYLENE SENSITIVITY1|T19L18.12|T19L18_12|RTE1|817148	AT2G26070	RTE1	817148	AT2G26070	none	none
829899|AT4G37445	AT4G37445	AT4G37445	829899	AT4G37445	none	none
AT1G23460|F28C11.9|838954	AT1G23460	AT1G23460	838954	AT1G23460	none	none
F14F18_60|831062|AT5G11890|F14F18.60	AT5G11890	EMB3135	831062	AT5G11890	none	up
822241|AT3G26370	AT3G26370	PAGR	822241	AT3G26370	none	none
840368|F12K21.2|AT1G34640	AT1G34640	AT1G34640	840368	AT1G34640	none	none
AT3G66654|819847|T8E24.14|T8E24_14	AT3G66654	CYP21-4	819847	AT3G66654	none	none
AT2G27290|817272|F12K2.13|F12K2_13	AT2G27290	AT2G27290	817272	AT2G27290	none	none
829173|AT4G30500|F17I23.160|F17I23_160	AT4G30500	AT2G27290	829173	AT4G30500	none	none
AT1G68400|843169|T2E12.5|T2E12_5	AT1G68400	AT1G68400	843169	AT1G68400	none	none
F7H1.5|F7H1_5|AT2G16030|816100	AT2G16030	AT2G16030	816100	AT2G16030	none	none
AT3G28220|822448	AT3G28220	AT3G28220	822448	AT3G28220	none	none
AT1G16170|T24D18.25|T24D18_25|838186	AT1G16170	AT1G16170	838186	AT1G16170	none	none
831867|AT5G03345	AT5G03345	PRCE2	831867	AT5G03345	none	none
F24B9.36|F24B9_36|AT1G07860|837301	AT1G07860	AT1G07860	837301	AT1G07860	none	none
AT1G47640|F16N3.6|F16N3_6|841173	AT1G47640	AT1G47640	841173	AT1G47640	none	none
AT2G19560|EER5|ENHANCED ETHYLENE RESPONSE 5|F3P11_16|F3P11.16|816475	AT2G19560	EER5	816475	AT2G19560	none	none
F24L7.14|F24L7_14|817832|ATCB5-B|ARABIDOPSIS CYTOCHROME B5 ISOFORM B|B5 #4|CB5-B|AT2G32720|cytochrome B5 isoform B	AT2G32720	CYTB5-B	817832	AT2G32720	none	none
B5 #1|CB5-C|ATCB5-C|T3A4_3|T3A4.3|ARABIDOPSIS CYTOCHROME B5 ISOFORM C|cytochrome B5 isoform C|819277|AT2G46650	AT2G46650	CYTB5-C	819277	AT2G46650	none	none
834939|ATCB5-D|AT5G48810|ARABIDOPSIS CYTOCHROME B5 ISOFORM D|ATB5-B|CB5-D|B5 #3|cytochrome B5 isoform D	AT5G48810	CYTB5-D	834939	AT5G48810	none	none
817638|AT2G30880|F7F1_9|F7F1.9	AT2G30880	SWAP70	817638	AT2G30880	none	none
824214|SNF1-RELATED PROTEIN KINASE 2-2|SNRK2-2|SRK2D|SNRK2.2|SPK-2-2|AT3G50500|PROTEIN KINASE|SNF1-related protein kinase 2.2	AT3G50500	SPK-2-2	824214	AT3G50500	none	none
AT2G33610|ATSWI3B|CHB2|CHROMATIN REMODELING COMPLEX SUBUNIT B|817927|switch subunit 3|SWI3B|F4P9.38|F4P9_38	AT2G33610	SWI3B	817927	AT2G33610	none	none
F15N18_40|AT5G11450|831016|F15N18.40	AT5G11450	AT5G11450	831016	AT5G11450	none	none
AT1G51140|841537|F23H24.3|F23H24_3	AT1G51140	BHLH122	841537	AT1G51140	none	none
832246|AT5G21326	AT5G21326	CIPK26	832246	AT5G21326	none	none
INDUCER OF CBF EXPRESSION 1|ICE1|ATICE1|SCREAM|A. THALIANA INDUCER OF CBP EXPRESSION 1|SCRM|822287|AT3G26744	AT3G26744	SCRM	822287	AT3G26744	none	none
AT2G39810|818568|HOS1|T5I7.11|HIGH EXPRESSION OF OSMOTICALLY RESPONSIVE GENES 1|T5I7_11	AT2G39810	HOS1	818568	AT2G39810	none	none
AT3G44690|823595	AT3G44690	AT3G44690	823595	AT3G44690	none	none
AT3G09880|ATB BETA|820146	AT3G09880	B'BETA	820146	AT3G09880	none	none
T9L3.20|T9L3_20|831324|AT5G14720	AT5G14720	AT5G14720	831324	AT5G14720	none	none
AT3G09980|820159	AT3G09980	ACIP1	820159	AT3G09980	none	none
AT1G78290|844164	AT1G78290	SRK2C	844164	AT1G78290	none	none
F6I7.10|AT4G24800|F6I7_10|828582	AT4G24800	MRF3	828582	AT4G24800	none	none
819273|AT2G46610|F13A10.14	AT2G46610	RS31A	819273	AT2G46610	none	none
AT5G03470|F12E4_240|831828|ATB ALPHA|F12E4.240	AT5G03470	B'ALPHA	831828	AT5G03470	none	none
AT1G08050|837321|T6D22.13|T6D22_13	AT1G08050	AT1G08050	837321	AT1G08050	none	none
F5A18.5|843414|AT1G70770|F5A18_5	AT1G70770	AT1G70770	843414	AT1G70770	none	none
AT3G26030|MPE11.23|822200|serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B prime delta|ATB DELTA	AT3G26030	B'DELTA	822200	AT3G26030	none	none
F11A6_6|F11A6.6|838348|ATB BETA|AT1G17720	AT1G17720	ATB-BETA	838348	AT1G17720	none	none
817625|T11J7.13|AT2G30740|T11J7_13	AT2G30740	PTI12	817625	AT2G30740	none	none
AT1G68070|843135|T23K23.8|T23K23_8	AT1G68070	AT1G68070	843135	AT1G68070	none	none
AT2G47060|F14M4.11|819320	AT2G47060	CARK3	819320	AT2G47060	none	none
AT1G06700|F4H5_21|837180|F4H5.21	AT1G06700	PTI11	837180	AT1G06700	none	none
825104|AT3G59350	AT3G59350	AT4G20790	825104	AT3G59350	none	none
GF14 KAPPA|general regulatory factor 8|GF14 KAPPA ISOFORM|MNA5.16|MNA5_16|836668|AT5G65430|GRF8|14-3-3 PROTEIN G-BOX FACTOR14 KAPPA|14-3-3KAPPA	AT5G65430	GRF8	836668	AT5G65430	none	none
AT2G33550|817920|F4P9.32|F4P9_32	AT2G33550	ASR3	817920	AT2G33550	none	none
K1O13_5|AT5G41260|K1O13.5|834127	AT5G41260	BSK8	834127	AT5G41260	none	none
F19C24.3|841606|F19C24_3|AT1G51800	AT1G51800	IOS1	841606	AT1G51800	none	none
831722|lectin receptor kinase a4.1|LECRKA4.1|AT5G01540|F7A7.60|F7A7_60	AT5G01540	LECRK62	831722	AT5G01540	none	none
F21C20.140|827827|F21C20_140|AT4G20790	AT4G20790	AT4G20790	827827	AT4G20790	none	none
839780|F28N24.23|AT1G29060|F28N24_23	AT1G29060	SFT12	839780	AT1G29060	none	none
841459|AT1G50370|F14I3_5|F14I3.5	AT1G50370	FYPP1	841459	AT1G50370	none	none
